token,lemma,upos,fine_tag,sent_id
WITHOUT,without,ADP,IN,242
PREMIUM,PREMIUM,PROPN,NNP,242
Like,like,ADP,IN,348
seriously,seriously,ADV,RB,348
Why,why,SCONJ,WRB,365
do,do,AUX,VBP,365
Not,not,PART,RB,365
The,the,DET,DT,365
owner,owner,NOUN,NN,365
Just,just,ADV,RB,365
make,make,VERB,VB,365
This,this,DET,DT,365
whole,whole,ADJ,JJ,365
APP,APP,PROPN,NNP,365
To,to,PART,TO,365
be,be,AUX,VB,365
bought,buy,VERB,VBN,365
i,I,PRON,PRP,426
will,will,AUX,MD,426
appreciate,appreciate,VERB,VB,426
If,if,SCONJ,IN,426
It,it,PRON,PRP,426
Is,be,AUX,VBZ,426
back,back,ADV,RB,426
To,to,ADP,IN,426
normal,normal,ADJ,JJ,426
-happy,-happy,ADJ,JJ,469
user,user,NOUN,NN,469
who,who,PRON,WP,469
Is,be,AUX,VBZ,469
Now,now,ADV,RB,469
sad,sad,ADJ,JJ,469
thank,thank,VERB,VBP,469
You,you,PRON,PRP,469
Intolerable,intolerable,ADJ,JJ,0
It,it,PRON,PRP,0
Is,be,AUX,VBZ,0
as,as,SCONJ,IN,0
They,they,PRON,PRP,0
are,be,AUX,VBP,0
Now,now,ADV,RB,0
demanding,demand,VERB,VBG,0
remuneration,remuneration,NOUN,NN,0
for,for,ADP,IN,0
The,the,DET,DT,0
recurring,recur,VERB,VBG,0
auditions,audition,NOUN,NNS,0
of,of,ADP,IN,0
melodies,melody,NOUN,NNS,0
Presently,presently,ADV,RB,99
The,the,DET,DT,99
facility,facility,NOUN,NN,99
To,to,PART,TO,99
consecutively,consecutively,ADV,RB,99
relish,relish,VERB,VB,99
tunes,tune,NOUN,NNS,99
from,from,ADP,IN,99
's,'s,PART,POS,99
compilation,compilation,NOUN,NN,99
has,have,AUX,VBZ,99
been,be,AUX,VBN,99
withheld,withhold,VERB,VBN,99
And,and,CCONJ,CC,99
Even,even,ADV,RB,99
The,the,DET,DT,99
liberty,liberty,NOUN,NN,99
To,to,PART,TO,99
evade,evade,VERB,VB,99
segments,segment,NOUN,NNS,99
of,of,ADP,IN,99
a,a,DET,DT,99
melody,melody,NOUN,NN,99
has,have,AUX,VBZ,99
been,be,AUX,VBN,99
curtailed,curtail,VERB,VBN,99
Moreover,moreover,ADV,RB,266
The,the,DET,DT,266
sonic,sonic,ADJ,JJ,266
caliber,caliber,NOUN,NN,266
of,of,ADP,IN,266
The,the,DET,DT,266
melodies,melody,NOUN,NNS,266
Is,be,AUX,VBZ,266
dreadfully,dreadfully,ADV,RB,266
substandard,substandard,ADJ,JJ,266
If,if,SCONJ,IN,266
One,one,PRON,PRP,266
must,must,AUX,MD,266
expend,expend,VERB,VB,266
a,a,DET,DT,266
substantial,substantial,ADJ,JJ,266
sum,sum,NOUN,NN,266
for,for,ADP,IN,266
access,access,NOUN,NN,266
To,to,ADP,IN,266
a,a,DET,DT,266
scant,scant,ADJ,JJ,266
selection,selection,NOUN,NN,266
of,of,ADP,IN,266
tunes,tune,NOUN,NNS,266
It,it,PRON,PRP,266
would,would,AUX,MD,266
be,be,AUX,VB,266
prudent,prudent,ADJ,JJ,266
To,to,PART,TO,266
consider,consider,VERB,VB,266
transitioning,transition,VERB,VBG,266
To,to,ADP,IN,266
an,an,DET,DT,266
alternative,alternative,NOUN,NN,266
This,this,DET,DT,0
APP,APP,PROPN,NNP,0
Is,be,AUX,VBZ,0
totally,totally,ADV,RB,0
focused,focused,ADJ,JJ,0
on,on,ADP,IN,0
selling,sell,VERB,VBG,0
PREMIUM,PREMIUM,PROPN,NNP,0
plans,plan,NOUN,NNS,0
And,and,CCONJ,CC,0
Not,not,PART,RB,0
providing,provide,VERB,VBG,0
services,service,NOUN,NNS,0
ads,ad,NOUN,NNS,0
And,and,CCONJ,CC,0
ads,ad,NOUN,NNS,0
And,and,CCONJ,CC,0
ads,ad,NOUN,NNS,0
👏,👏,VERB,VBP,0
🏻,🏻,NOUN,NN,0
these,these,DET,DT,0
things,thing,NOUN,NNS,0
aside,aside,ADV,RB,0
Now,now,ADV,RB,0
They,they,PRON,PRP,0
are,be,AUX,VBP,0
charging,charge,VERB,VBG,0
for,for,ADP,IN,0
bare,bare,ADJ,JJ,0
minimum,minimum,ADJ,JJ,0
features,feature,NOUN,NNS,0
Like,like,ADP,IN,0
To,to,PART,TO,0
Play,play,VERB,VB,0
Music,music,NOUN,NN,0
in,in,ADP,IN,0
The,the,DET,DT,0
sequence,sequence,NOUN,NN,0
wise,wise,ADJ,JJ,0
or,or,CCONJ,CC,0
To,to,PART,TO,0
suffle,suffle,VERB,VB,0
them,they,PRON,PRP,0
although,although,SCONJ,IN,0
these,these,DET,DT,0
features,feature,NOUN,NNS,0
do,do,AUX,VBP,0
Not,not,PART,RB,0
cost,cost,VERB,VB,0
them,they,PRON,PRP,0
Nothing,nothing,PRON,NN,0
still,still,ADV,RB,0
To,to,PART,TO,0
manipulate,manipulate,VERB,VB,0
us,we,PRON,PRP,0
To,to,PART,TO,0
Buy,Buy,PROPN,NNP,0
PREMIUM,PREMIUM,PROPN,NNP,0
plans,plan,NOUN,NNS,0
They,they,PRON,PRP,0
are,be,AUX,VBP,0
doing,do,VERB,VBG,0
this,this,PRON,DT,0
🤦,🤦,PROPN,NNP,0
heights,height,NOUN,NNS,0
of,of,ADP,IN,0
greed,greed,NOUN,NN,0
remove,remove,VERB,VB,0
from,from,ADP,IN,0
It,it,PRON,PRP,0
Was,be,AUX,VBD,0
best,good,ADJ,JJS,0
Music,music,NOUN,NN,0
APP,APP,PROPN,NNP,0
But,but,CCONJ,CC,61
After,after,ADP,IN,61
a,a,DET,DT,61
Recent,recent,ADJ,JJ,61
update,update,NOUN,NN,61
its,its,PRON,PRP$,61
showing,showing,NOUN,NN,61
Why,why,SCONJ,WRB,111
We,we,PRON,PRP,111
have,have,VERB,VBP,111
To,to,PART,TO,111
Just,just,ADV,RB,111
for,for,ADP,IN,111
read,read,NOUN,NN,111
lyrics,lyric,NOUN,NNS,111
remove,remove,VERB,VB,111
This,this,DET,DT,111
whenever,whenever,SCONJ,WRB,111
i,I,PRON,PRP,111
want,want,VERB,VBP,111
To,to,PART,TO,111
move,move,VERB,VB,111
back,back,ADV,RB,111
It,it,PRON,PRP,228
Is,be,AUX,VBZ,228
keep,keep,VERB,VB,228
saying,say,VERB,VBG,228
explore,explore,VERB,VB,228
fix,fix,VERB,VB,228
This,this,DET,DT,228
problem,problem,NOUN,NN,228
This,this,DET,DT,228
APP,app,NOUN,NN,228
Is,be,AUX,VBZ,228
Useless,useless,ADJ,JJ,228
i,I,PRON,PRP,228
can,can,AUX,MD,228
not,not,PART,RB,228
choose,choose,VERB,VB,228
What,what,PRON,WP,331
i,I,PRON,PRP,331
want,want,VERB,VBP,331
To,to,PART,TO,331
The,the,DET,DT,0
APP,APP,PROPN,NNP,0
Is,be,AUX,VBZ,0
becoming,become,VERB,VBG,0
worse,bad,ADJ,JJR,0
And,and,CCONJ,CC,0
worse,worse,ADV,RBR,0
everyday,everyday,NOUN,NN,0
every,every,DET,DT,0
basic,basic,ADJ,JJ,0
feature,feature,NOUN,NN,0
Is,be,AUX,VBZ,0
becoming,become,VERB,VBG,0
PREMIUM,PREMIUM,PROPN,NNP,0
Even,even,ADV,RB,87
The,the,DET,DT,87
backskip,backskip,NOUN,NN,87
button,button,NOUN,NN,87
Is,be,AUX,VBZ,87
Now,now,ADV,RB,87
a,a,DET,DT,87
PREMIUM,PREMIUM,PROPN,NNP,87
feature,feature,NOUN,NN,87
You,you,PRON,PRP,87
can,can,AUX,MD,87
not,not,PART,RB,87
get,get,VERB,VB,87
back,back,ADV,RB,87
To,to,ADP,IN,87
a,a,DET,DT,87
Music,music,NOUN,NN,87
If,if,SCONJ,IN,87
It,it,PRON,PRP,87
gets,get,AUX,VBZ,87
skipped,skip,VERB,VBN,87
Uninstalling,Uninstalling,PROPN,NNP,189
Even,even,ADV,RB,211
After,after,ADP,IN,211
so,so,ADV,RB,211
many,many,ADJ,JJ,211
users,user,NOUN,NNS,211
giving,give,VERB,VBG,211
BAD,bad,ADJ,JJ,211
rating,rating,NOUN,NN,211
They,they,PRON,PRP,211
still,still,ADV,RB,211
keep,keep,VERB,VBP,211
asking,ask,VERB,VBG,211
for,for,ADP,IN,211
money,money,NOUN,NN,211
Just,just,ADV,RB,288
money,money,NOUN,NN,288
seeking,seek,VERB,VBG,288
creeps,creep,NOUN,NNS,288
Disappointed,disappointed,ADJ,JJ,315
And,and,CCONJ,CC,315
Angry,Angry,PROPN,NNP,315
i,I,PRON,PRP,0
brought,bring,VERB,VBD,0
PREMIUM,PREMIUM,PROPN,NNP,0
back,back,ADV,RB,0
But,but,CCONJ,CC,40
Now,now,ADV,RB,40
i,I,PRON,PRP,40
am,be,AUX,VBP,40
Unable,unable,ADJ,JJ,40
log,log,VERB,VB,40
in,in,ADV,RB,40
due,due,ADJ,JJ,40
some,some,DET,DT,40
APP,APP,PROPN,NNP,40
glitch.generally,glitch.generally,ADV,RB,40
Such,such,ADJ,JJ,40
problems,problem,NOUN,NNS,40
should,should,AUX,MD,40
be,be,AUX,VB,40
solve,solve,VERB,VB,40
in,in,ADP,IN,40
But,but,CCONJ,CC,148
This,this,DET,DT,148
team,team,NOUN,NN,148
Is,be,AUX,VBZ,148
Not,not,PART,RB,148
Even,even,ADV,RB,148
looking,look,VERB,VBG,148
in,in,ADP,IN,148
This,this,DET,DT,148
matter,matter,NOUN,NN,148
should,should,AUX,MD,206
be,be,AUX,VB,206
Thankful,thankful,ADJ,JJ,206
store,store,NOUN,NN,206
Because,because,SCONJ,IN,206
It,it,PRON,PRP,206
does,do,AUX,VBZ,206
Not,not,PART,RB,206
have,have,VERB,VB,206
negative,negative,ADJ,JJ,206
rating,rating,NOUN,NN,206
otherwise,otherwise,ADV,RB,206
could,could,AUX,MD,206
have,have,VERB,VB,206
negative,negative,ADJ,JJ,206
rating,rating,NOUN,NN,206
New,new,ADJ,JJ,0
update,update,NOUN,NN,0
Is,be,AUX,VBZ,0
horrible,horrible,ADJ,JJ,0
Why,why,SCONJ,WRB,0
switch,switch,VERB,VB,0
tapping,tap,VERB,VBG,0
back,back,ADV,RB,0
To,to,ADP,IN,0
PREMIUM,PREMIUM,PROPN,NNP,0
And,and,CCONJ,CC,0
Play,play,VERB,VB,0
in,in,ADP,IN,0
order,order,NOUN,NN,0
people,people,NOUN,NNS,0
will,will,AUX,MD,0
be,be,AUX,VB,0
exhausted,exhaust,VERB,VBN,0
BY,by,ADP,IN,0
It,it,PRON,PRP,0
They,they,PRON,PRP,0
will,will,AUX,MD,0
Not,not,PART,RB,0
bry,bry,VERB,VB,0
PREMIUM,PREMIUM,PROPN,NNP,0
instead,instead,ADV,RB,0
They,they,PRON,PRP,0
will,will,AUX,MD,0
DELETE,delete,VERB,VB,0
The,the,DET,DT,0
APP,APP,PROPN,NNP,0
only,only,ADV,RB,0
And,and,CCONJ,CC,0
switch,switch,VERB,VB,0
To,to,ADP,IN,0
other,other,ADJ,JJ,0
apps,app,NOUN,NNS,0
Bring,bring,VERB,VB,0
back,back,ADV,RB,0
The,the,DET,DT,0
old,old,ADJ,JJ,0
updates,update,NOUN,NNS,0
or,or,CCONJ,CC,0
It,it,PRON,PRP,0
Is,be,AUX,VBZ,0
very,very,ADV,RB,0
difficult,difficult,ADJ,JJ,0
To,to,PART,TO,0
listen,listen,VERB,VB,0
songs,song,NOUN,NNS,0
Like,like,ADP,IN,0
This,this,PRON,DT,0
And,and,CCONJ,CC,0
Even,even,ADV,RB,0
feels,feel,VERB,VBZ,0
disturbing,disturbing,ADJ,JJ,0
To,to,ADP,IN,0
listeners,listener,NOUN,NNS,0
i,I,PRON,PRP,0
really,really,ADV,RB,0
HATE,hate,VERB,VBP,0
The,the,DET,DT,0
New,New,PROPN,NNP,0
update,update,NOUN,NN,0
Why,why,SCONJ,WRB,30
would,would,AUX,MD,30
They,they,PRON,PRP,30
remove,remove,VERB,VB,30
The,the,DET,DT,30
basic,basic,ADJ,JJ,30
features,feature,NOUN,NNS,30
Such,such,ADJ,JJ,30
as,as,ADP,IN,30
shuffle,shuffle,NOUN,NN,30
And,and,CCONJ,CC,30
playing,play,VERB,VBG,30
songs,song,NOUN,NNS,30
in,in,ADP,IN,30
order,order,NOUN,NN,30
They,they,PRON,PRP,115
increased,increase,VERB,VBD,115
The,the,DET,DT,115
amount,amount,NOUN,NN,115
of,of,ADP,IN,115
ads,ad,NOUN,NNS,115
as,as,ADV,RB,115
well,well,ADV,RB,115
Having,have,VERB,VBG,157
More,More,ADJ,JJR,157
ads,ad,NOUN,NNS,157
playing,play,VERB,VBG,157
And,and,CCONJ,CC,157
removing,remove,VERB,VBG,157
basic,basic,ADJ,JJ,157
features,feature,NOUN,NNS,157
will,will,AUX,MD,157
Not,not,PART,RB,157
make,make,VERB,VB,157
people,people,NOUN,NNS,157
It,it,PRON,PRP,243
will,will,AUX,MD,243
only,only,ADV,RB,243
make,make,VERB,VB,243
people,people,NOUN,NNS,243
switch,switch,VERB,VB,243
To,to,ADP,IN,243
another,another,DET,DT,243
APP,APP,PROPN,NNP,243
Absolutely,absolutely,ADV,RB,291
Disappointed,disappointed,ADJ,JJ,291
Used,use,VERB,VBN,0
To,to,PART,TO,0
love,love,VERB,VB,0
This,this,DET,DT,0
APP,APP,PROPN,NNP,0
All,all,DET,PDT,23
The,the,DET,DT,23
features,feature,NOUN,NNS,23
were,be,AUX,VBD,23
amazing,amazing,ADJ,JJ,23
And,and,CCONJ,CC,53
i,I,PRON,PRP,53
did,do,AUX,VBD,53
Not,not,PART,RB,53
Even,even,ADV,RB,53
mind,mind,VERB,VB,53
listening,listen,VERB,VBG,53
To,to,ADP,IN,53
The,the,DET,DT,53
ads,ad,NOUN,NNS,53
But,but,CCONJ,CC,98
The,the,DET,DT,98
Recent,recent,ADJ,JJ,98
update,update,NOUN,NN,98
has,have,AUX,VBZ,98
left,leave,VERB,VBN,98
me,I,PRON,PRP,98
Disappointed,disappointed,ADJ,JJ,98
Even,even,ADV,RB,146
The,the,DET,DT,146
basic,basic,ADJ,JJ,146
features,feature,NOUN,NNS,146
are,be,AUX,VBP,146
Not,not,PART,RB,146
available,available,ADJ,JJ,146
Now,now,ADV,RB,146
i,I,PRON,PRP,193
hope,hope,VERB,VBP,193
They,they,PRON,PRP,193
undo,undo,VERB,VBP,193
This,this,DET,DT,193
update,update,NOUN,NN,193
else,else,ADV,RB,193
i,I,PRON,PRP,193
would,would,AUX,MD,193
have,have,VERB,VB,193
No,no,DET,DT,193
other,other,ADJ,JJ,193
option,option,NOUN,NN,193
But,but,CCONJ,CC,256
To,to,PART,TO,256
look,look,VERB,VB,256
for,for,ADP,IN,256
alternatives,alternative,NOUN,NNS,256
This,this,DET,DT,0
APP,APP,PROPN,NNP,0
Was,be,AUX,VBD,0
perfect,perfect,ADJ,JJ,0
before,before,ADV,RB,0
And,and,CCONJ,CC,28
Now,now,ADV,RB,28
Because,because,SCONJ,IN,28
of,of,ADP,IN,28
This,this,DET,DT,28
update,update,NOUN,NN,28
tht,tht,NOUN,NN,28
Removed,remove,VERB,VBN,28
basic,basic,ADJ,JJ,28
features,feature,NOUN,NNS,28
has,have,AUX,VBZ,28
become,become,AUX,VBN,28
f#$ked,f#$ke,VERB,VBN,28
up,up,ADP,RP,28
everyone,everyone,PRON,NN,28
hates,hat,VERB,VBZ,28
This,this,PRON,DT,28
Now,now,ADV,RB,28
remove,remove,VERB,VB,28
The,the,DET,DT,28
update,update,NOUN,NN,28
guys,guy,NOUN,NNS,28
You,you,PRON,PRP,28
can,can,AUX,MD,28
make,make,VERB,VB,28
money,money,NOUN,NN,28
in,in,ADP,IN,28
a,a,DET,DT,28
different,different,ADJ,JJ,28
way,way,NOUN,NN,28
not,not,PART,RB,28
BY,by,ADP,IN,28
removing,remove,VERB,VBG,28
basic,basic,ADJ,JJ,28
features,feature,NOUN,NNS,28
will,will,AUX,MD,226
realise,realise,VERB,VB,226
You,you,PRON,PRP,226
are,be,AUX,VBP,226
mistake,mistake,NOUN,NN,226
soon,soon,ADV,RB,226
The,the,DET,DT,0
APP,APP,PROPN,NNP,0
Was,be,AUX,VBD,0
really,really,ADV,RB,0
good,good,ADJ,JJ,0
But,but,CCONJ,CC,25
recently,recently,ADV,RB,25
pushing,push,VERB,VBG,25
lyrics,lyric,NOUN,NNS,25
behind,behind,ADP,IN,25
a,a,DET,DT,25
wall,wall,NOUN,NN,25
No,no,DET,DT,25
shuffling,shuffling,NOUN,NN,25
Is,be,AUX,VBZ,25
affecting,affect,VERB,VBG,25
experience,experience,NOUN,NN,25
Why,why,SCONJ,WRB,110
All,all,DET,PDT,110
This,this,PRON,DT,110
Is,be,AUX,VBZ,110
part,part,NOUN,NN,110
of,of,ADP,IN,110
PREMIUM,PREMIUM,PROPN,NNP,110
Also,also,ADV,RB,143
can,can,AUX,MD,143
not,not,PART,RB,143
decide,decide,VERB,VB,143
my,my,PRON,PRP$,143
own,own,ADJ,JJ,143
sequence,sequence,NOUN,NN,143
Is,be,AUX,VBZ,185
It,it,PRON,PRP,185
an,an,DET,DT,185
APP,APP,PROPN,NNP,185
from,from,ADP,IN,185
Wish,Wish,PROPN,NNP,225
i,I,PRON,PRP,225
could,could,AUX,MD,225
give,give,VERB,VB,225
It,it,PRON,PRP,225
star,star,NOUN,NN,225
This,this,PRON,DT,0
Was,be,AUX,VBD,0
The,the,DET,DT,0
best,good,ADJ,JJS,0
Music,music,NOUN,NN,0
APP,APP,PROPN,NNP,0
Now,now,ADV,RB,28
Even,even,ADV,RB,28
listening,listen,VERB,VBG,28
To,to,ADP,IN,28
a,a,DET,DT,28
of,of,ADP,IN,28
our,our,PRON,PRP$,28
time,time,NOUN,NN,28
stamp,stamp,NOUN,NN,28
requires,require,VERB,VBZ,28
PREMIUM,PREMIUM,PROPN,NNP,28
so,so,ADV,RB,28
annoying,annoying,ADJ,JJ,28
did,do,AUX,VBD,28
Not,not,PART,RB,28
expected,expect,VERB,VBN,28
This,this,PRON,DT,28
from,from,ADP,IN,28
very,very,ADV,RB,28
disappointing,disappointing,ADJ,JJ,28
i,I,PRON,PRP,162
hope,hope,VERB,VBP,162
their,their,PRON,PRP$,162
development,development,NOUN,NN,162
team,team,NOUN,NN,162
watches,watch,VERB,VBZ,162
This,this,DET,DT,162
review,review,NOUN,NN,162
And,and,CCONJ,CC,162
give,give,VERB,VB,162
us,we,PRON,PRP,162
our,our,PRON,PRP$,162
back,back,ADV,RB,162
🙂,🙂,NOUN,NNS,162
showing,show,VERB,VBG,0
their,their,PRON,PRP$,0
cheap,cheap,ADJ,JJ,0
tactics,tactic,NOUN,NNS,0
To,to,PART,TO,0
get,get,VERB,VB,0
money,money,NOUN,NN,0
The,the,DET,DT,50
Recent,recent,ADJ,JJ,50
update,update,NOUN,NN,50
removes,remove,VERB,VBZ,50
The,the,DET,DT,50
basic,basic,ADJ,JJ,50
functionalities,functionality,NOUN,NNS,50
Like,like,ADP,IN,50
going,go,VERB,VBG,50
back,back,ADV,RB,50
To,to,ADP,IN,50
PREVIOUS,PREVIOUS,PROPN,NNP,50
skipping,skip,VERB,VBG,50
specific,specific,ADJ,JJ,50
parts,part,NOUN,NNS,50
of,of,ADP,IN,50
The,the,DET,DT,50
All,all,PRON,DT,176
requires,require,VERB,VBZ,176
PREMIUM,PREMIUM,PROPN,NNP,176
subscription,subscription,NOUN,NN,176
At,at,ADP,IN,211
This,this,DET,DT,211
point,point,NOUN,NN,211
Just,just,ADV,RB,211
DELETE,DELETE,VERB,VBN,211
The,the,DET,DT,211
APP,APP,PROPN,NNP,211
After,after,SCONJ,IN,0
The,the,DET,DT,0
New,New,PROPN,NNP,0
update,update,NOUN,NN,0
Everything,everything,PRON,NN,0
Is,be,AUX,VBZ,0
Because,because,SCONJ,IN,0
wrost,wrost,NOUN,NN,0
You,you,PRON,PRP,0
can,can,AUX,MD,0
not,not,PART,RB,0
Even,even,ADV,RB,0
Play,play,VERB,VB,0
a,a,DET,DT,0
specific,specific,ADJ,JJ,0
part,part,NOUN,NN,0
It,it,PRON,PRP,0
Is,be,AUX,VBZ,0
become,become,VERB,VBN,0
Useless,useless,ADJ,JJ,0
If,if,SCONJ,IN,0
They,they,PRON,PRP,0
can,can,AUX,MD,0
not,not,PART,RB,0
fix,fix,VERB,VB,0
This,this,PRON,DT,0
there,there,PRON,EX,0
Is,be,VERB,VBZ,0
No,no,DET,DT,0
other,other,ADJ,JJ,0
option,option,NOUN,NN,0
then,then,ADV,RB,0
To,to,PART,TO,0
leave,leave,VERB,VB,0
This,this,DET,DT,0
APP,APP,PROPN,NNP,0
And,and,CCONJ,CC,0
switch,switch,VERB,VB,0
To,to,ADP,IN,0
another,another,DET,DT,0
APP,APP,PROPN,NNP,0
If,if,SCONJ,IN,210
They,they,PRON,PRP,210
do,do,AUX,VBP,210
Not,not,PART,RB,210
fix,fix,VERB,VB,210
This,this,DET,DT,210
piece,piece,NOUN,NN,210
of,of,ADP,IN,210
shït,shït,NOUN,NN,210
This,this,DET,DT,0
APP,app,NOUN,NN,0
Is,be,AUX,VBZ,0
turning,turn,VERB,VBG,0
from,from,ADP,IN,0
my,my,PRON,PRP$,0
fav,fav,NOUN,NN,0
To,to,ADP,IN,0
The,the,DET,DT,0
Worst,bad,ADJ,JJS,0
Music,Music,PROPN,NNP,0
streaming,stream,VERB,VBG,0
APP,APP,PROPN,NNP,0
It,it,PRON,PRP,0
Is,be,AUX,VBZ,0
literally,literally,ADV,RB,0
Forcing,force,VERB,VBG,0
You,you,PRON,PRP,0
To,to,PART,TO,0
Buy,buy,VERB,VB,0
The,the,DET,DT,0
PREMIUM,PREMIUM,PROPN,NNP,0
version,version,NOUN,NN,0
It,it,PRON,PRP,0
Is,be,AUX,VBZ,0
Too,too,ADV,RB,0
BAD,BAD,PROPN,NNP,0
And,and,CCONJ,CC,0
It,it,PRON,PRP,0
Is,be,AUX,VBZ,0
Not,not,PART,RB,0
doing,do,VERB,VBG,0
on,on,ADP,IN,0
All,all,DET,DT,0
accounts,account,NOUN,NNS,0
At,at,ADP,IN,0
Once,once,ADV,RB,0
But,but,CCONJ,CC,180
only,only,ADV,RB,180
some,some,PRON,DT,180
At,at,ADP,IN,180
a,a,DET,DT,180
time,time,NOUN,NN,180
time,time,NOUN,NN,180
To,to,PART,TO,180
change,change,VERB,VB,180
my,my,PRON,PRP$,180
Music,Music,PROPN,NNP,180
APP,APP,PROPN,NNP,180
What,what,PRON,WP,0
are,be,AUX,VBP,0
You,you,PRON,PRP,0
guys,guy,NOUN,NNS,0
trying,try,VERB,VBG,0
To,to,PART,TO,0
do,do,VERB,VB,0
You,you,PRON,PRP,32
guys,guy,NOUN,NNS,32
removing,remove,VERB,VBG,32
basic,basic,ADJ,JJ,32
features,feature,NOUN,NNS,32
as,as,SCONJ,IN,32
i,I,PRON,PRP,32
am,be,AUX,VBP,32
writing,write,VERB,VBG,32
This,this,DET,DT,32
review,review,NOUN,NN,32
They,they,PRON,PRP,32
